Airtel,Asian Paints,Axis bank,Coal India,LT,Reliance,SBI,Tata Motors,Tata steel,Wipro
372.25,1314.65,639.05,283.2,1228.35,1346.6,296.65,269.95,600.45,320.45
372.6,1317.3,637.4,277.5,1216.9,1348.3,296.75,265.55,593.9,318.05
377.75,1312.05,640.5,279.95,1172.3,1359.5,296.6,262.05,593.05,313.55
384.25,1359.45,631.75,287.45,1126.5,1364.3,306.4,266.7,600.5,309.15
383.35,1371.1,649.2,286.1,1117.95,1369.1,308.85,267.1,601.65,301.65
382.6,1375.95,649.55,285.55,1129,1349.55,308.15,259.65,608.3,298.85
374.85,1392,656.55,287.05,1129.95,1351.4,309.65,261.6,594.05,296.95
376.45,1407.4,660.6,294.65,1139.7,1355.8,304.95,260.3,589.35,295.9
378.35,1399.6,650.05,292.6,1136,1356.15,308.25,258.9,581.05,296.5
368.5,1392.5,639.6,290.4,1139.9,1342.8,300.3,255.6,575.45,292.3
369.25,1393.9,631.8,288.6,1130.2,1352.5,302.25,257.4,571.5,289.5
367.75,1402.15,636.2,291.55,1140.65,1322.15,306.9,269.05,582.25,288.5
370.4,1408.9,624.2,284.2,1131.3,1323.95,307.55,269.55,599.4,284.3
371.25,1399.8,627.1,281.2,1124.4,1240.3,302,257.35,580.6,279.6
372.05,1392.35,623.85,282.45,1119.25,1232.95,292.7,251.15,568.1,279.85
366.5,1395.55,618.3,281.5,1126.5,1253.5,294.7,248.7,578.9,284.4
368.95,1398.4,605.3,279.25,1131,1268.55,294.8,248.55,569.2,282.7
369.1,1418.1,615.65,276,1133.05,1264.9,304.45,250.25,575.55,279.05
366.75,1415.3,619.45,280.15,1141.65,1286.35,316.45,257.5,585.1,278.9
384.6,1425.2,596.4,276.25,1146.6,1297.75,308.65,255,577.65,278.25
381.35,1419.6,592.05,275.4,1132.8,1295.65,304,251.85,573.4,277.3
386.2,1396.8,596.5,282.85,1159.5,1291.2,308.55,254.7,553.4,276.7
374.7,1411.35,574.35,278.5,1156,1291.35,298.6,258.75,555.1,278.15
372.95,1418.45,546.1,273.2,1170.8,1281.8,294,260.95,554.5,279.05
383.65,1437.75,544.9,270.3,1178.9,1297.65,295.1,264.95,554.65,276.95
390.7,1448.3,550.1,261.7,1176.7,1302.6,293.4,264.15,562.85,276.8
383.15,1430.8,568.45,262.5,1174.35,1295.8,297.35,267.3,552.6,273.45
364.45,1433.25,553.65,261.95,1176.55,1311.4,286.6,267.7,549.45,274.5
357.6,1432.5,541.65,264.7,1188.95,1306.05,286.7,258.5,534.95,272.55
351.85,1450.3,531.85,264.15,1192.1,1320.05,271.45,257.3,534.55,274.65
356.4,1466.7,546,266.15,1159.1,1322.55,266.7,259.2,526.7,273.35
357.6,1433.7,540.8,262.3,1182.25,1279.5,266.4,258.25,516.85,276.05
345.55,1396.9,534.45,263.15,1179.65,1269.35,260.95,253.4,503.45,283.05
345.05,1399.45,527.3,261.5,1170.95,1255.55,260.15,252.45,499.75,285.25
336.8,1391.4,524.2,264,1178.55,1289.15,259,251.95,504.7,284.1
342.25,1377.9,538.05,264.7,1179.15,1288.05,259.25,257.6,532.5,284.15
346.2,1358.6,523.1,261.55,1186.3,1282.6,251.75,251.55,519.3,283.1
358.05,1368.5,523.9,267.75,1181,1294.1,257.6,264.15,558.15,280.7
361.8,1357.25,537.25,265.2,1178.2,1299.75,262.75,266.5,556.3,279.5
361.9,1358.3,536.6,265.25,1170.65,1275.05,258.9,267.85,555.85,272.85
367.35,1369.45,532.55,278,1172.1,1284.5,263.5,275.4,568.6,271.1
361.55,1364,523.65,271.05,1175.2,1286.5,261.35,273.35,556.85,265.1
361.85,1322.8,514.25,271.3,1740.2,1266.65,257.45,271.15,554.15,263
363.45,1321.85,510.9,270.15,1739.25,1253.5,256.6,261.5,553.5,265
366.45,1291.55,514.3,264.15,1732.2,1259.4,257.5,267,568.9,262.75
370.2,1291.9,512,261,1705.65,1252.35,257.75,269.5,566.5,261.75
367.15,1293.5,512.6,260.85,1697.2,1255.85,259.1,267.25,560.95,260.95
381,1264.1,510.4,264.4,1695.55,1271.3,259.3,269.3,567.85,261.4
376.35,1267.45,504.95,260.5,1683.85,1236,256.85,263.9,548.05,257
