Date,SBIN.NS,ASIANPAINT.NS,BHARTIARTL.NS,CIPLA.NS,IOC.NS,JSWSTEEL.NS,MARUTI.NS,WIPRO.NS,AXISBANK.NS,ONGC.NS
2019-12-01,333.75,1773.527344,454.169067,476.961151,111.039444,264.463074,7302.909668,244.262512,754.099976,119.898827
2020-01-01,318.450012,1784.158813,494.673645,445.742218,100.337906,245.513412,6851.866699,235.318802,729.299988,101.420624
2020-02-01,303,1786.444092,521.626831,401.058289,93.527847,230.82373,6227.086914,220.953247,697.299988,85.595474
2020-03-01,196.850006,1655.835327,439.322388,421.754547,72.213226,143.224319,4250.070313,196.258774,379,63.579895
2020-04-01,190.5,1754.46582,512.459778,589.599976,78.133713,176.912628,5311.026855,190.521667,444.899994,79.900002
2020-05-01,161.300003,1679.047852,550.622681,648.150024,77.205765,180.389191,5560.780273,212.322662,384.950012,83.199997
2020-06-01,178.449997,1683.387329,557.846741,640.25,79.200867,185.432648,5786.251953,219.157288,406.649994,81.349998
2020-07-01,191.449997,1711.369873,552.864624,720.150024,82.077522,215.693375,6206.918457,280.319794,431.649994,78.300003
2020-08-01,212,1896.2052,511.264038,713.549988,79.618446,269.799988,6778.972656,270.691406,496.75,81.949997
2020-09-01,185.399994,1983.372192,420.950012,774.700012,68.575798,277.75,6743.450195,312.846649,424.649994,69.25
2020-10-01,189.25,2208.12915,433.75,754.5,73.818733,309,6965.149902,339.93576,492.5,64.900002
2020-11-01,244.25,2215.300049,463.25,745.599976,78.504898,350.200012,7035.799805,349.713776,601.599976,78.5
2020-12-01,274.950012,2764.5,509.700012,819.950012,84.397408,387.200012,7649.600098,385.383575,620.450012,93.050003
2021-01-01,282.100006,2407.350098,553.599976,825.900024,86.5317,366.850006,7206.649902,416.962585,662.900024,88.300003
