BHEL,BOB,Britannia,Colgate,Dabur,Godrej,Havells,MRF,Oracle FS,Titan
77.1,140.5,5940.05,1096.8,443.75,1248.25,632.6,69769.55,4192.55,820.75
77.75,146.6,6094,1126.95,449.9,1298.1,641.35,70506.5,4154.85,857.55
79.35,148.05,6229.1,1141.75,468.3,1341.2,673.55,71251.95,4165.3,867.45
81.4,146.1,6194.45,1140.05,454.1,1312.2,679,70830.55,4073.15,867.15
78.95,144.55,6185,1141.65,456.9,1345.15,660.4,70352.3,4044.85,863.9
78.7,145.55,6344.05,1144.4,448.6,1399.15,668.8,71028.9,3951.4,880.9
81.75,151.7,6565.85,1174.65,466.35,1433.55,716.4,73038.9,4113.65,912.75
80.6,152.95,6736.75,1169,478.75,1452.15,725.25,74026.75,4160.2,891.9
80.85,150.15,6690,1153.45,479.9,1440.7,719.35,73218.8,4171.9,878.35
80.65,147.7,6735.8,1151.2,477.8,1443.35,714,73286.4,4158.55,882.8
77.7,143.85,6845.65,1154.8,485.75,1441.7,716.45,73316.9,4140.35,888.3
79.95,150.05,6804.95,1157.9,481.95,1403.65,719.95,74171.9,4088.45,890.9
80.2,147.4,6773.45,1169.8,475.1,1396,699.7,74075.9,4089.4,885.35
73.9,149.85,6900.15,1191.6,483.95,1419.65,707.25,74573.5,4086.15,911.9
75.5,150.9,6857.45,1166.2,458.8,1383.75,699.7,74498.95,4042.5,916.3
75,151,6771.4,1146.9,453.3,1398.95,690.15,74761.9,4054.75,921.7
73.85,146.2,6629.9,1142.7,456.2,1345.85,678.95,73747.75,4036.45,941.55
72.6,142.7,6494.15,1140.5,444.9,1335.35,681.45,73164.7,4021.75,919.45
72.25,146.3,6459.5,1130.6,453,1294.75,685.9,73819.8,4017.9,925.6
72.6,145.65,6430.65,1129.9,441.2,1305.5,676.4,73253.95,3939.35,913.65
73.2,148.3,6343.75,1138.35,442.6,1294.4,673.5,74233.95,3895.3,920.1
74.5,154.75,6335.4,1137.25,445.9,1298.6,687.3,75995.1,3928.15,915.3
73.55,148.6,6301.4,1148.85,445.15,1304.15,681.45,76650.1,3915.65,935
