Date,Open,High,Low,Close,Adj Close
2014-01-01,21222.189453,21244.349609,21133.820313,21140.480469,21140.480469
2014-01-02,21179.910156,21331.320313,20846.669922,20888.330078,20888.330078
2014-01-03,20819.580078,20885.179688,20731.330078,20851.330078,20851.330078
2014-01-06,20913.789063,20913.789063,20721.980469,20787.300781,20787.300781
2014-01-07,20845.769531,20890.480469,20637.179688,20693.240234,20693.240234
2014-01-08,20767.419922,20786.410156,20688.179688,20729.380859,20729.380859
2014-01-09,20755.730469,20778.130859,20652.689453,20713.369141,20713.369141
2014-01-10,20760.720703,20971.230469,20625.169922,20758.490234,20758.490234
2014-01-13,20850.539063,21169.080078,20850.539063,21134.210938,21134.210938
2014-01-14,21115,21154.759766,21009.050781,21032.880859,21032.880859
2014-01-15,21091.460938,21302.730469,21091.460938,21289.490234,21289.490234
2014-01-16,21366.910156,21379.289063,21199.650391,21265.179688,21265.179688
2014-01-17,21236.650391,21270.109375,21015.609375,21063.619141,21063.619141
2014-01-20,21083.529297,21221.369141,21001.130859,21205.050781,21205.050781
2014-01-21,21237.960938,21302.519531,21189.199219,21251.119141,21251.119141
2014-01-22,21251.650391,21377.910156,21168.429688,21337.669922,21337.669922
2014-01-23,21319.689453,21409.660156,21264.710938,21373.660156,21373.660156
2014-01-24,21289.150391,21333.660156,21123.990234,21133.560547,21133.560547
2014-01-27,20899.029297,20899.029297,20688.029297,20707.449219,20707.449219
2014-01-28,20721.169922,20795.349609,20554.279297,20683.509766,20683.509766
2014-01-29,20784.039063,20828.679688,20613.619141,20647.300781,20647.300781
2014-01-30,20491.740234,20528.410156,20343.779297,20498.25,20498.25
2014-01-31,20544.640625,20572.320313,20448.429688,20513.849609,20513.849609
2014-02-03,20479.029297,20480.349609,20182.199219,20209.259766,20209.259766
2014-02-04,20050.990234,20255.519531,19963.119141,20211.929688,20211.929688
2014-02-05,20241.119141,20289.330078,20076.099609,20261.029297,20261.029297
2014-02-06,20286.089844,20358.189453,20079.820313,20310.740234,20310.740234
2014-02-07,20441.039063,20450.509766,20282.300781,20376.560547,20376.560547
2014-02-10,20429.160156,20434.5,20312.210938,20334.269531,20334.269531
2014-02-11,20400.939453,20443.349609,20349.509766,20363.369141,20363.369141
2014-02-12,20449.830078,20516.599609,20427.230469,20448.490234,20448.490234
2014-02-13,20478.669922,20503.859375,20164.669922,20193.349609,20193.349609
2014-02-14,20265.130859,20391.949219,20149.009766,20366.820313,20366.820313
2014-02-17,20438.869141,20492.429688,20338.949219,20464.060547,20464.060547
2014-02-18,20457.560547,20685.019531,20436.480469,20634.210938,20634.210938
2014-02-19,20643.849609,20750.519531,20629.560547,20722.970703,20722.970703
2014-02-20,20661.070313,20662.660156,20522.039063,20536.640625,20536.640625
2014-02-21,20600.580078,20725.039063,20599.910156,20700.75,20700.75
2014-02-24,20695.480469,20828.630859,20637.300781,20811.439453,20811.439453
2014-02-25,20877.720703,20912.539063,20777.730469,20852.470703,20852.470703
2014-02-26,20869.609375,21005.039063,20860.019531,20986.990234,20986.990234
2014-02-28,20995.390625,21140.509766,20989.660156,21120.119141,21120.119141
2014-03-03,21079.269531,21140,20920.980469,20946.650391,20946.650391
2014-03-04,20947,21224.640625,20940.390625,21209.730469,21209.730469
2014-03-05,21280.359375,21333.199219,21176.160156,21276.859375,21276.859375
2014-03-06,21336.320313,21525.140625,21329.880859,21513.869141,21513.869141
2014-03-07,21539.439453,21960.890625,21539.439453,21919.789063,21919.789063
2014-03-10,21819.189453,22023.980469,21805.220703,21934.830078,21934.830078
2014-03-11,21918.830078,22018.519531,21772.109375,21826.419922,21826.419922
2014-03-12,21793.320313,21965.949219,21768.140625,21856.220703,21856.220703
2014-03-13,21736.609375,21991.359375,21720.130859,21774.609375,21774.609375
2014-03-14,21648.050781,21853.320313,21573.480469,21809.800781,21809.800781
2014-03-18,21849.650391,22040.720703,21785.380859,21832.609375,21832.609375
2014-03-19,21872.679688,21895.830078,21782.009766,21832.859375,21832.859375
2014-03-20,21797.609375,21853.25,21704.660156,21740.089844,21740.089844
2014-03-21,21823.519531,21870.109375,21729.900391,21753.75,21753.75
2014-03-22,null,null,null,null,null
2014-03-24,21827.5,22074.339844,21827.5,22055.480469,22055.480469
2014-03-25,21948.310547,22079.960938,21916.869141,22055.210938,22055.210938
2014-03-26,22134.710938,22172.199219,22020.580078,22095.300781,22095.300781
2014-03-27,22116.230469,22307.740234,22094.289063,22214.369141,22214.369141
2014-03-28,22273.439453,22363.970703,22185.109375,22339.970703,22339.970703
