Date,Expiry Date,Strike Price (K),Call Price,Put Price
24-Jun-14,24-Dec-14,5000,2718.4,10.6
25-Jun-14,24-Dec-14,5000,2690.2,11.75
26-Jun-14,24-Dec-14,5000,2615.85,9.95
27-Jun-14,24-Dec-14,5000,2619.95,10.5
30-Jun-14,24-Dec-14,5000,2734.65,11.3
01-Jul-14,24-Dec-14,5000,2758.9,11.4
02-Jul-14,24-Dec-14,5000,2848.9,9.6
03-Jul-14,24-Dec-14,5000,2841.8,9.15
04-Jul-14,24-Dec-14,5000,2869.8,11.9
07-Jul-14,24-Dec-14,5000,2883.4,10.5
08-Jul-14,24-Dec-14,5000,2761.5,11
09-Jul-14,24-Dec-14,5000,2727.3,10.35
10-Jul-14,24-Dec-14,5000,2698.35,6.6
11-Jul-14,24-Dec-14,5000,2612.75,8.7
14-Jul-14,24-Dec-14,5000,2608.75,9.55
15-Jul-14,24-Dec-14,5000,2677,8
16-Jul-14,24-Dec-14,5000,2775.9,5.65
17-Jul-14,24-Dec-14,5000,2775,7.2
18-Jul-14,24-Dec-14,5000,2790,0
21-Jul-14,24-Dec-14,5000,2805,5.95
22-Jul-14,24-Dec-14,5000,2896.7,7
23-Jul-14,24-Dec-14,5000,2911,5.2
24-Jul-14,24-Dec-14,5000,2950,6.95
25-Jul-14,24-Dec-14,5000,2905,7
28-Jul-14,24-Dec-14,5000,2870,5.15
30-Jul-14,24-Dec-14,5000,2899,6
31-Jul-14,24-Dec-14,5000,2842,6.5
01-Aug-14,24-Dec-14,5000,2695,7.9
04-Aug-14,24-Dec-14,5000,2809,7
05-Aug-14,24-Dec-14,5000,2799,6.25
06-Aug-14,24-Dec-14,5000,2785,5
07-Aug-14,24-Dec-14,5000,2750,5.65
08-Aug-14,24-Dec-14,5000,2666.7,6
11-Aug-14,24-Dec-14,5000,2729,5.1
12-Aug-14,24-Dec-14,5000,2837.8,4.95
13-Aug-14,24-Dec-14,5000,2835,5.95
14-Aug-14,24-Dec-14,5000,2888,5
18-Aug-14,24-Dec-14,5000,2970,4.25
19-Aug-14,24-Dec-14,5000,3003.95,5
20-Aug-14,24-Dec-14,5000,2975,5.85
21-Aug-14,24-Dec-14,5000,2990,5.5
22-Aug-14,24-Dec-14,5000,3015,5.4
25-Aug-14,24-Dec-14,5000,3021.9,4.55
26-Aug-14,24-Dec-14,5000,2990,4.5
27-Aug-14,24-Dec-14,5000,3041.2,4.7
28-Aug-14,24-Dec-14,5000,3052.4,4.35
01-Sep-14,24-Dec-14,5000,3123.55,4.7
02-Sep-14,24-Dec-14,5000,3189.95,3.7
03-Sep-14,24-Dec-14,5000,3200.1,3.75
04-Sep-14,24-Dec-14,5000,3192.4,3.65
05-Sep-14,24-Dec-14,5000,3185,3.5
08-Sep-14,24-Dec-14,5000,3254,3.95
09-Sep-14,24-Dec-14,5000,3220,3.9
10-Sep-14,24-Dec-14,5000,3196.4,4.8
11-Sep-14,24-Dec-14,5000,3177,3.05
12-Sep-14,24-Dec-14,5000,3207.7,3.95
15-Sep-14,24-Dec-14,5000,3142.5,3.9
16-Sep-14,24-Dec-14,5000,3052.85,4.9
17-Sep-14,24-Dec-14,5000,3061.15,3.05
18-Sep-14,24-Dec-14,5000,3205.75,3.15
19-Sep-14,24-Dec-14,5000,3210,3.1
22-Sep-14,24-Dec-14,5000,3225.7,3
23-Sep-14,24-Dec-14,5000,3098.85,3.35
24-Sep-14,24-Dec-14,5000,3066.3,3.7
25-Sep-14,24-Dec-14,5000,2972.65,3.9
26-Sep-14,24-Dec-14,5000,3056.75,4
29-Sep-14,24-Dec-14,5000,3015.75,3.45
30-Sep-14,24-Dec-14,5000,3011.55,3.95
