,GAIL,IOC,ONGC,TATAMOTORS
1 months,0.27621334873241726,0.3016572260571483,0.2544600588356985,0.3390852124326369
2 months,0.27592788399803275,0.3911082333039115,0.24097339638543416,0.36144825493834615
3 months,0.3431336627659184,0.5226983325441648,0.38189321060194803,0.42201742484566446
